Disease Name,Symptoms,Precautions,Diet Plan,Home Remedies
Vertigo,"Restlessness, Rapid Heartbeat","Avoid Scratching, Stay Hydrated","Coconut Water, Carrots, Avocados","Oatmeal Bath, Aloe Vera"
Glaucoma,"Memory Loss, Confusion","Use Mosquito Nets, Stay Hydrated","Papaya, Pomegranate, Neem Leaves","Papaya Leaves, Neem Juice"
Cataracts,"Tremors, Muscle Rigidity","Drink Boiled Water, Eat Hygienic Food","Boiled Rice, Yogurt, Bananas","Boiled Rice Water, Clove Tea"
Macular Degeneration,"Seizures, Loss of Consciousness","Complete Medication Course, Avoid Crowds","Garlic, Green Tea, Broccoli","Garlic, Turmeric, Basil"
Sleep Apnea,"Numbness, Speech Issues","Get Vaccinated, Avoid Alcohol","Milk Thistle, Ginger, Nuts","Milk Thistle, Ginger Tea"
Narcolepsy,"Chest Pain, Breathlessness","Use Steam Therapy, Drink Fluids","Honey, Garlic, Mushrooms","Honey, Warm Turmeric Water"
Insomnia,"Swelling, Fatigue","Use Nasal Spray, Stay Hydrated","Turmeric, Ginger Tea, Lemon","Steam Inhalation, Ginger Tea"
Restless Leg Syndrome,"Jaundice, Nausea","Avoid Stagnant Water, Use Mosquito Repellent","Papaya, Lemon, Basil Leaves","Papaya Leaf Extract, Neem Water"
Endometriosis,"Stomach Pain, Nausea","Exercise Regularly, Eat Balanced Diet","Quinoa, Avocados, Nuts","Cinnamon Tea, Green Tea"
Polycystic Ovary Syndrome,"Abdominal Pain, Vomiting","Rest, Stay Hydrated, Take Medication","Chicken Soup, Oranges, Ginger Tea","Ginger Tea, Honey, Steam Inhalation"
Menopause,"Pain, Indigestion","Exercise, Healthy Diet, Avoid Sugar","Oatmeal, Brown Rice, Leafy Greens","Cinnamon, Bitter Gourd Juice"
Infertility,Severe Abdominal Pain,"Avoid Triggers, Stay Hydrated, Sleep Well","Almonds, Spinach, Bananas","Lavender Oil, Peppermint Tea"
Testicular Cancer,"Weak Bones, Fractures","Reduce Salt Intake, Exercise Regularly","Garlic, Spinach, Berries","Garlic, Hibiscus Tea"
Prostate Cancer,"Red Patches, Itching","Use Inhalers, Avoid Triggers","Salmon, Turmeric, Avocados","Ginger Tea, Honey, Steam Therapy"
Erectile Dysfunction,"Dry, Itchy Skin","Rest, Drink Warm Fluids","Citrus Fruits, Honey, Green Tea","Lemon Tea, Ginger, Honey"
Hernia,"Burning Sensation, Frequent Urination","Quarantine, Wear Masks, Vaccinate","Eggs, Lentils, Yogurt","Turmeric Milk, Ginger Tea"
Varicose Veins,"Painful Urination, Discharge","Avoid Spicy Foods, Eat Small Meals","Bananas, Oatmeal, Ginger Tea","Apple Cider Vinegar, Chamomile Tea"
Deep Vein Thrombosis,"Painful Urination, Discharge","Exercise, Maintain Healthy Weight","Turmeric, Chia Seeds, Salmon","Turmeric, Fish Oil, Hot Compress"
Cellulitis,"Fever, Weight Loss","Increase Iron Intake, Avoid Tea/Coffee","Spinach, Beetroot, Red Meat","Beetroot Juice, Pomegranate"
Ringworm,"Cough, Weight Loss","Use Humidifier, Avoid Smoke","Honey, Warm Tea, Lemon","Ginger Tea, Honey, Steam Therapy"
Scabies,"Lump in Breast, Pain","Avoid Scratching, Stay Hydrated","Coconut Water, Carrots, Avocados","Oatmeal Bath, Aloe Vera"
Lyme Disease,"Blood in Stool, Weight Loss","Use Mosquito Nets, Stay Hydrated","Papaya, Pomegranate, Neem Leaves","Papaya Leaves, Neem Juice"
Rocky Mountain Spotted Fever,"Skin Growths, Moles","Drink Boiled Water, Eat Hygienic Food","Boiled Rice, Yogurt, Bananas","Boiled Rice Water, Clove Tea"
Chikungunya,"Fatigue, Bruising","Complete Medication Course, Avoid Crowds","Garlic, Green Tea, Broccoli","Garlic, Turmeric, Basil"
Yellow Fever,"Swollen Lymph Nodes, Fatigue","Get Vaccinated, Avoid Alcohol","Milk Thistle, Ginger, Nuts","Milk Thistle, Ginger Tea"
Ebola,"Weight Changes, Fatigue","Use Steam Therapy, Drink Fluids","Honey, Garlic, Mushrooms","Honey, Warm Turmeric Water"
Marburg Virus,"Paralysis, Muscle Weakness","Use Nasal Spray, Stay Hydrated","Turmeric, Ginger Tea, Lemon","Steam Inhalation, Ginger Tea"
Flu,"Fever, Hydrophobia","Avoid Stagnant Water, Use Mosquito Repellent","Papaya, Lemon, Basil Leaves","Papaya Leaf Extract, Neem Water"
Diabetes,"Fever, Rash","Exercise Regularly, Eat Balanced Diet","Quinoa, Avocados, Nuts","Cinnamon Tea, Green Tea"
